name,x,y,sky_centroid.ra,sky_centroid.dec,m,me,t
5011,4677.964471,1635.465662,266.4225488,-28.98913473,15.43544044,0.001911731,2022.71678
5012,4546.726574,1642.815704,266.4226425,-28.99142992,17.61363422,0.004402874,2022.71678
5013,4702.355508,1637.831118,266.4226059,-28.98870948,19.86042729,0.01997055,2022.71678
5014,3189.262732,1638.434166,266.4220051,-29.01514187,18.20769576,0.006560035,2022.71678
5015,3376.544087,1638.764211,266.4220876,-29.01187037,16.99662985,0.003537006,2022.71678
5016,4737.449448,1637.554331,266.4226146,-28.98809633,15.94628899,0.002205684,2022.71678
5017,1603.608597,1640.207501,266.421398,-29.04284224,13.32933681,0.000250412,2022.71678
5018,3171.650576,1654.632778,266.4223216,-29.01545527,17.22866564,0.004465151,2022.71678
5019,3617.77495,1638.047116,266.422171,-29.00765606,16.50081915,0.00270271,2022.71678
5020,3050.013676,1639.301799,266.4219661,-29.01757471,16.66225503,0.00297518,2022.71678
5021,3337.772179,1642.052255,266.4221376,-29.01254884,17.41883971,0.00428513,2022.71678
5022,3425.531191,1647.68603,266.4222857,-29.01101778,13.6797001,0.001966849,2022.71678
5023,3602.000686,1641.39991,266.4222316,-29.00793281,15.84040609,0.002208745,2022.71678
5024,4180.554683,1641.139118,266.4224607,-28.99782598,16.38935494,0.002626457,2022.71678
5025,2820.17597,1642.784851,266.4219425,-29.02159097,16.01781358,0.003836725,2022.71678
5026,3071.922954,1642.8863,266.4220465,-29.01719325,17.44378547,0.004328649,2022.71678
5027,341.1724038,1643.522594,266.4209525,-29.06489687,14.75797187,0.001896346,2022.71678
5028,3211.506155,1644.391548,266.4221332,-29.01475541,17.7548552,0.005058085,2022.71678
5029,4921.243291,1643.792501,266.4228136,-28.98488785,17.50740428,0.005905116,2022.71678
5030,3362.868795,1643.455323,266.4221758,-29.01211093,17.06932542,0.003535531,2022.71678
5031,4398.653151,1642.998073,266.4225861,-28.99401668,16.58927198,0.002797393,2022.71678
5032,2839.447275,1645.393724,266.4220025,-29.02125525,16.19637163,0.003411286,2022.71678
5033,4286.564058,1644.796882,266.4225767,-28.9959754,18.11640047,0.006206823,2022.71678
5034,4330.056771,1644.70018,266.4225924,-28.99521559,17.19230705,0.002150335,2022.71678
5035,4344.073847,1646.068887,266.4226254,-28.99497121,18.83141178,0.009651679,2022.71678
5036,4408.749955,1649.409697,266.4227183,-28.99384257,18.20732603,0.006280262,2022.71678
5037,2146.436985,1646.29526,266.4217397,-29.03336174,15.40407775,0.002563736,2022.71678
5038,3513.315829,1648.416648,266.4223358,-29.00948453,18.39734479,0.007210833,2022.71678
5039,3611.493928,1646.549213,266.4223383,-29.0077688,17.53257488,0.004415756,2022.71678
5040,4071.934992,1648.90993,266.4225719,-28.9997262,16.32171995,0.002534498,2022.71678
5041,416.3225498,1647.280459,266.421058,-29.0635854,15.20760667,0.00186934,2022.71678
5042,3659.44712,1651.419229,266.422455,-29.00693283,20.04108179,0.025384371,2022.71678
5043,4089.314541,1649.06986,266.4225822,-28.99942266,15.10188114,0.001894031,2022.71678
5044,4355.026973,1647.821346,266.4226648,-28.99478049,18.78793918,0.008871419,2022.71678
5045,4664.329372,1649.836573,266.4228303,-28.98937801,15.20399613,0.001862928,2022.71678
5046,4566.560051,1649.780705,266.4227896,-28.99108592,15.23662435,0.001924571,2022.71678
5047,4742.735459,1654.671548,266.4229586,-28.98801005,16.33544436,0.006513819,2022.71678
5048,3216.637551,1685.183922,266.4229501,-29.01468022,17.58437881,0.005244899,2022.71678
5049,3626.951557,1653.073785,266.4224749,-29.00750108,15.69537629,0.002155733,2022.71678
5050,3081.432044,1655.479851,266.422302,-29.0170316,17.02800432,0.003570208,2022.71678
5051,3141.639562,1655.107865,266.4223189,-29.0159797,16.83744589,0.003306866,2022.71678
5052,3204.246229,1654.686088,266.4223359,-29.01488588,17.18037453,0.003813695,2022.71678
5053,4776.898635,1654.703366,266.4229731,-28.98741327,14.99223685,0.001758768,2022.71678
5054,3074.012137,1669.72005,266.4225834,-29.01716626,17.09044797,0.005835076,2022.71678
5055,4180.604228,1663.292888,266.4229032,-28.99783296,17.84063339,0,2022.71678
5056,3448.588024,1657.51092,266.4224913,-29.01061848,15.07953474,0.00211134,2022.71678
5057,3611.560034,1658.56627,266.4225784,-29.0077719,16.96638064,0.003720484,2022.71678
5058,4069.166225,1669.679259,266.4229856,-28.99978193,17.03768481,0.00378012,2022.71678
5059,4285.165149,1656.105544,266.422802,-28.99600384,17.79007078,0.004960826,2022.71678
5060,4335.831804,1657.938344,266.4228591,-28.99511939,13.81055785,0.001224136,2022.71678
5061,4350.356861,1656.095144,266.4228282,-28.994865,17.05095352,0.003387535,2022.71678
5062,4496.951805,1659.541864,266.4229564,-28.99230536,16.39092214,0.002950468,2022.71678
5063,4515.885816,1656.043559,266.4228942,-28.99197337,15.11021941,0.001854286,2022.71678
5064,1184.398147,1656.398956,266.4215516,-29.05017115,15.23305735,0.00196547,2022.71678
5065,3015.042908,1658.229404,266.42233,-29.01819232,15.44601246,0.003012909,2022.71678
5066,3274.503907,1656.748324,266.4224055,-29.01365928,16.89054792,0.003269616,2022.71678
5067,4707.512855,1657.517082,266.4230012,-28.98862636,17.82686783,0.004725482,2022.71678
5068,3048.944101,1661.391997,266.4224069,-29.01760122,19.99148375,0.01754642,2022.71678
5069,3370.592488,1660.085426,266.4225111,-29.01198189,16.90477748,0.002757571,2022.71678
5070,3433.49658,1664.12098,266.4226172,-29.01088445,14.62753208,0.002376819,2022.71678
5071,4274.443848,1658.285168,266.4228412,-28.9961919,17.10412553,0.003455033,2022.71678
5072,4534.520863,1657.683587,266.4229345,-28.99164841,16.14924588,0.002346329,2022.71678
5073,3137.294948,1682.277228,266.4228599,-29.01606522,17.5772121,0.005769281,2022.71678
5074,3196.150939,1661.352256,266.4224658,-29.01502965,17.31828659,0.00412841,2022.71678
5075,3347.922652,1659.482362,266.4224899,-29.0123777,15.97376212,0.002364051,2022.71678
5076,3390.868888,1659.6643,266.4225109,-29.01162753,16.95462343,0.003297901,2022.71678
5077,4152.638556,1659.032164,266.4228068,-28.99831998,17.27582789,0.003943908,2022.71678
5078,4654.958801,1661.214752,266.4230537,-28.98954574,18.99279285,0.010900517,2022.71678
5079,796.9895158,1661.607081,266.4214987,-29.05694062,13.7154251,0,2022.71678
5080,3234.869268,1660.483207,266.4224641,-29.01435298,16.35989932,0.002701838,2022.71678
5081,1364.502584,1662.381286,266.4217442,-29.04702703,15.08129251,0.001931627,2022.71678
5082,2997.078058,1663.598511,266.42243,-29.01850805,16.49389046,0.00278873,2022.71678
5083,3357.986101,1665.760771,266.4226194,-29.01220412,15.65363399,0.002159582,2022.71678
5084,3108.256344,1662.782208,266.4224587,-29.01656559,16.83875385,0.000981333,2022.71678
5085,4228.029511,1663.305367,266.4229226,-28.99700449,16.53012066,0.002808918,2022.71678
5086,4258.749151,1665.616115,266.4229812,-28.99646867,17.17711206,0.003795721,2022.71678
5087,3408.601025,1676.582902,266.422856,-29.01132376,18.46008518,0.007639761,2022.71678
5088,3754.970428,1666.364314,266.4227922,-29.00526943,18.87142458,0.010495913,2022.71678
5089,3964.629906,1668.054271,266.4229108,-29.00160749,18.1014938,0.006390162,2022.71678
5090,3259.713608,1668.073644,266.4226258,-29.01392166,17.04952731,0.003655379,2022.71678
5091,3280.373338,1670.541052,266.4226834,-29.01356163,18.77075994,0.009705485,2022.71678
5092,3462.74682,1671.100507,266.4227685,-29.01037595,18.80742426,0.009235673,2022.71678
5093,4306.410423,1671.474749,266.4231175,-28.99563815,18.48750115,0.010248616,2022.71678
5094,4827.776743,1666.638827,266.423232,-28.98652871,15.8371647,0.002146315,2022.71678
5095,2883.136237,1669.099174,266.4224937,-29.02050044,16.75337777,0.004307865,2022.71678
5096,3391.506267,1668.710488,266.4226919,-29.0116196,16.114053,0.002449452,2022.71678
5097,3781.140746,1677.212255,266.4230195,-29.0048161,,,2022.71678
5098,2865.672499,1669.012355,266.4224849,-29.02080549,15.78894704,0.002375918,2022.71678
5099,3666.198027,1669.960769,266.4228281,-29.00682146,16.38991844,0.0026023,2022.71678
5100,4563.156587,1670.249497,266.423197,-28.99115262,17.3544578,0.003913241,2022.71678
5101,4699.165482,1670.045154,266.423248,-28.98877662,16.31634682,0.002449564,2022.71678
5102,4724.923739,1673.122016,266.4233199,-28.98832774,13.5748994,0.000373442,2022.71678
5103,3482.548841,1675.587885,266.4228661,-29.01003162,15.56627684,0.00165032,2022.71678
5104,3561.147141,1671.282437,266.4228119,-29.00865706,18.71681552,0.008838158,2022.71678
5105,4494.180157,1675.507094,266.4232741,-28.99235943,16.93823589,0.004526884,2022.71678
5106,4049.487599,1673.344209,266.4230509,-29.00012699,22.04540648,0.142528049,2022.71678
5107,4471.60259,1671.821023,266.4231913,-28.99275254,15.51032109,0.002043402,2022.71678
5108,4550.092143,1697.463903,266.4237352,-28.99139048,20.03865652,0.042300936,2022.71678
5109,277.9166779,1673.395393,266.4215238,-29.06601247,13.96082715,0.002048651,2022.71678
5110,3269.976677,1674.69573,266.4227622,-29.01374472,17.67122783,0.004941681,2022.71678
5111,4157.920712,1673.983496,266.4231075,-28.998233,17.28877857,0.004040433,2022.71678
5112,4445.258425,1672.629855,266.4231968,-28.99321303,15.36733511,0.001580527,2022.71678
5113,3392.979838,1680.954368,266.422937,-29.0115982,16.47938683,0.003120627,2022.71678
5114,4120.22322,1673.570249,266.423084,-28.99889139,16.9956546,0.003445197,2022.71678
5115,3008.233453,1674.316354,266.4226486,-29.01831697,16.86140228,0.003168342,2022.71678
5116,3202.041117,1675.504554,266.4227508,-29.01493177,17.48206549,0.004620813,2022.71678
5117,4571.173563,1674.225704,266.4232797,-28.99101398,17.46628246,0.004055318,2022.71678
5118,4633.263449,1679.741912,266.423415,-28.98993129,16.79659922,0.003756282,2022.71678
5119,4911.393808,1676.851876,266.4234698,-28.98507162,15.08912247,0.003042725,2022.71678
5120,3439.000218,1677.69033,266.4228905,-29.01079311,16.43954769,0.001011424,2022.71678
5121,4232.469146,1679.701806,266.4232519,-28.99693274,19.43760152,0.014927881,2022.71678
5122,4322.498312,1677.531735,266.423245,-28.99535926,15.82580123,0.00214344,2022.71678
5123,4848.455846,1676.541221,266.4234382,-28.98617097,15.87337505,0.003050268,2022.71678
5124,3522.220816,1678.386722,266.4229381,-29.00933958,16.16664597,0.002446968,2022.71678
5125,4592.952013,1676.78956,266.4233397,-28.99063445,17.27042839,0.003560795,2022.71678
5126,1491.549719,1680.227525,266.4221523,-29.04481397,14.89432919,0.001877768,2022.71678
5127,3359.444251,1680.994665,266.4229243,-29.01218405,16.49594592,0.001775051,2022.71678
5128,3528.941938,1683.308039,266.4230391,-29.00922391,16.5640763,0.002856244,2022.71678
5129,4282.228129,1679.788725,266.4232738,-28.99606353,18.15387994,0,2022.71678
5130,2993.251688,1686.503457,266.422886,-29.018583,,,2022.71678
5131,3094.802736,1682.079863,266.4228388,-29.01680745,15.23765655,0.002176459,2022.71678
5132,3273.078623,1683.575435,266.4229408,-29.01369368,18.04269131,0.006123725,2022.71678
5133,3620.294222,1683.826063,266.4230864,-29.00762827,16.29113582,0.002629765,2022.71678
5134,3683.485708,1680.576789,266.4230471,-29.00652323,17.57474707,0.004244629,2022.71678
5135,4769.943051,1680.75709,266.4234906,-28.987544,15.25579033,0.001852881,2022.71678
5136,3108.146785,1682.667787,266.4228559,-29.01657455,17.4215509,0.004599243,2022.71678
5137,3493.574449,1683.933308,266.4230373,-29.00984197,19.93220183,0.025300467,2022.71678
5138,3700.269586,1683.354418,266.4231094,-29.00623101,17.77903712,0.004943246,2022.71678
5139,3899.241048,1681.753461,266.423158,-29.00275462,17.34400588,0.00403464,2022.71678
