name,x,y,sky_centroid.ra,sky_centroid.dec,m,me,t
jws_1193,3486.162807,439.980087,266.3981889,-29.00951866,16.35399772,0.004206206,2022.71678
jws_1194,1433.307016,442.3150227,266.397396,-29.04538339,13.37267233,0.00152827,2022.71678
jws_1195,2894.337689,441.8608047,266.3979845,-29.01985866,15.16491564,0.002343083,2022.71678
jws_1196,3428.611972,441.5229213,266.3981962,-29.01052464,14.51070534,0.001785243,2022.71678
jws_1197,1168.647856,442.6596185,266.3972946,-29.05000718,14.22590414,0.001676661,2022.71678
jws_1198,451.7154671,445.5208137,266.3970584,-29.06253318,18.23965676,0.010271682,2022.71678
jws_1199,2102.313703,444.160089,266.3977066,-29.03369634,13.32944241,0.00236549,2022.71678
jws_1200,3369.495178,443.3389555,266.3982083,-29.01155807,14.52547229,0.001527861,2022.71678
jws_1201,3384.845062,448.725705,266.3983222,-29.01129183,16.40369192,0.004504818,2022.71678
jws_1202,641.4310382,444.886096,266.3971234,-29.05921858,13.8126658,0.001579898,2022.71678
jws_1203,1665.897813,445.0820573,266.3975465,-29.04132096,13.89299751,0.001761021,2022.71678
jws_1204,3221.906126,446.2423563,266.398206,-29.01413753,13.63294781,0.002146044,2022.71678
jws_1205,2117.893849,444.7911257,266.3977255,-29.03342438,14.77034515,0.002554285,2022.71678
jws_1206,3483.483118,448.6196051,266.3983604,-29.00956856,16.61494405,0.005003062,2022.71678
jws_1207,3687.697548,447.7071566,266.3984257,-29.00600056,15.93892686,0.003133165,2022.71678
jws_1208,2077.771835,447.2304098,266.3977579,-29.03412619,14.22631975,0.002238042,2022.71678
jwst2,2802.687776,449.7150206,266.398104,-29.02146262,16.10324278,0.005193833,2022.71678
jws_1210,3601.28835,447.4964807,266.3983861,-29.00751007,16.01862382,0.003366294,2022.71678
jws_1211,4456.250579,447.5097067,266.3987359,-28.99257368,14.3278895,0.001643152,2022.71678
jws_1212,3407.074893,449.08835,266.3983385,-29.0109036,17.58726558,0.00996487,2022.71678
jws_1213,4701.629732,448.3210903,266.3988523,-28.98828713,14.0176078,0.001284216,2022.71678
jws_1214,2023.871332,449.1957394,266.3977751,-29.03506855,15.56906575,0.002537332,2022.71678
jws_1215,2882.063073,450.464354,266.3981514,-29.02007618,13.85518524,0.00316356,2022.71678
jws_1216,4333.325849,452.3796763,266.3987829,-28.99472294,16.96399103,0.006387413,2022.71678
jws_1217,4645.598136,449.8523968,266.39886,-28.98926657,14.15501039,0.001614645,2022.71678
jws_1218,3512.017012,451.232392,266.3984243,-29.009071,16.43098885,0.004368064,2022.71678
jws_1219,3531.808348,452.6792061,266.3984613,-29.00872576,13.85232826,0.0026383,2022.71678
jws_1220,3623.492827,452.8222326,266.3985016,-29.00712406,15.6052234,0.002775347,2022.71678
jws_1221,2979.568235,451.4608666,266.3982112,-29.0183731,15.80393852,0.003082988,2022.71678
jws_1222,3588.56824,451.799106,266.3984669,-29.00773384,14.81459151,0.001969059,2022.71678
jws_1223,2898.484015,452.2835087,266.3981944,-29.01978995,15.54271466,0.00158809,2022.71678
jws_1224,3285.862452,454.663633,266.3984004,-29.01302321,13.90029778,0.001832673,2022.71678
jws_1225,4305.713357,453.0263951,266.3987845,-28.99520557,15.79822675,0.002668922,2022.71678
jws_1226,4602.36055,452.9809568,266.3989048,-28.99002306,14.23861215,0.001685553,2022.71678
jws_1227,3073.429469,456.5026146,266.3983503,-29.01673512,14.34546284,0.001868481,2022.71678
jws_1228,3243.50427,455.700053,266.3984038,-29.01376358,16.81802366,0.005359317,2022.71678
jws_1229,3921.814565,454.3638963,266.3986543,-29.00191286,14.19555052,0.001773817,2022.71678
jws_1230,1764.250634,461.9896736,266.3979245,-29.03960876,15.6862681,0.00399841,2022.71678
jws_1231,3461.854195,457.0033632,266.3985191,-29.00994942,15.98827076,0.00356479,2022.71678
jws_1232,4461.638219,456.2892631,266.3989134,-28.99248269,13.77973312,0.001757144,2022.71678
jws_1233,3112.760238,456.8500017,266.3983733,-29.01604813,15.31436769,0.00244599,2022.71678
jws_1234,4590.076623,459.2008402,266.399024,-28.99023988,14.22996769,0.001676984,2022.71678
jws_1235,3254.531349,457.0187766,266.3984346,-29.01357141,14.58128239,0.001881094,2022.71678
jws_1236,3421.177495,457.676734,266.3985159,-29.0106603,16.27143908,0.003980341,2022.71678
jws_1237,3843.863067,462.5699853,266.3987864,-29.00327762,17.39887333,0.007465052,2022.71678
jws_1238,3644.752586,459.6279445,266.3986462,-29.00675508,14.35503418,0.001723114,2022.71678
jws_1239,3673.753667,460.8725689,266.398683,-29.00624887,13.80484733,0.002256945,2022.71678
jws_1240,4111.918801,459.9250338,266.3988431,-28.99859368,15.11921501,0.00188174,2022.71678
jws_1241,4402.96516,464.4837755,266.3990531,-28.99351065,16.83460518,0.003554223,2022.71678
jws_1242,4873.867176,460.7308773,266.3991706,-28.98528254,13.22745995,0.002154749,2022.71678
jws_1243,1506.230527,464.7489576,266.3978742,-29.04411742,13.47603492,0.002010609,2022.71678
jws_1244,2107.940441,462.0560558,266.3980664,-29.03360444,13.2865224,0.002644257,2022.71678
jws_1245,3524.522726,460.4386123,266.3986133,-29.00885582,14.31974733,0,2022.71678
jws_1246,3710.308555,461.8636735,266.3987177,-29.0056106,14.33033537,0.002649236,2022.71678
jws_1247,3362.454608,467.2510085,266.3986831,-29.01168962,15.16409313,0.002472045,2022.71678
jws_1248,3744.56954,461.3119152,266.3987207,-29.00501186,15.28729449,0.00232237,2022.71678
jws_1249,1468.376225,462.642057,266.3978166,-29.04477799,13.74412561,0.001733773,2022.71678
jws_1250,2058.264855,464.3311101,266.3980916,-29.0344731,15.31489134,0.002238158,2022.71678
jws_1251,2153.571606,463.1028371,266.398106,-29.03280763,15.24214018,0.00310458,2022.71678
jws_1252,4606.647301,463.2153294,266.399111,-28.98995182,13.51762411,0.001878317,2022.71678
jws_1253,3828.04308,465.3824478,266.3988361,-29.00355501,12.78411193,0.001559612,2022.71678
